"","nct_id","study_type","study_type_n","phase","phase_n","condition_type","condition_type_n","intervention_type","arms","groups","enrollment","enrollment_n","start_date","start_date_yr","completion_date","completion_date_yr","duration","duration_n","study_first_posted","study_first_posted_yr","start_to_nct","status","status_n","status_new","published","published_n","sponsor","sponsor_type","sponsor_type_n","sponsor_num","zip_code","city","state","latitude","longitude","country_num","country","country_n"
"1","NCT00001853","Observational",2,NA,NA,"Other",4,NA,NA,NA,1132,"1,000-5,000","1998-10-01","1998",NA,NA,NA,NA,"1999-11-01","1999",1.08418891170431,"Recruiting",7,"Recruiting","Yes",1,"NIDDK","NIH",2,"1",20892,"Bethesda","MD",39.002375,-77.10341,1,"US",1
"2","NCT00001859","Observational",2,NA,NA,"Diabetes",3,NA,NA,NA,621,"100-1,000","1999-06-01","1999","2014-05-01","2014",14.9158110882957,"10+ years","1999-11-01","1999",0.418891170431211,"Completed",3,"Completed","No",2,"NIDDK","NIH",2,"1",20892,"Bethesda","MD",39.002375,-77.10341,1,"US",1
"3","NCT00001870","Interventional",1,"Phase 2",4,"Type 2",2,"Drug",NA,NA,150,"100-1,000","1999-01-01","1999","2004-12-01","2004",5.91649555099247,"5-10 years","1999-11-01","1999",0.832306639288159,"Completed",3,"Completed","Yes",1,"NCCIH","NIH",2,"1",20892,"Bethesda","MD",39.002375,-77.10341,1,"US",1
"4","NCT00001985","Observational",2,NA,NA,"Diabetes",3,NA,NA,NA,NA,NA,"2000-01-01","2000","2003-02-01","2003",3.08555783709788,"2-5 years","2000-01-01","2000",0,"Completed",3,"Completed","Yes",1,"NIDDK","NIH",2,"1",20892,"Bethesda","MD",39.002375,-77.10341,1,"US",1
"5","NCT00001987","Observational",2,NA,NA,"Diabetes",3,NA,NA,NA,NA,NA,"1976-01-01","1976",NA,NA,NA,NA,"2000-01-01","2000",24,"Recruiting",7,"Recruiting","Yes",1,"NIDDK","NIH",2,"1",20892,"Bethesda","MD",39.002375,-77.10341,1,"US",1
"6","NCT00004266","Interventional",1,"Phase 3",6,"Other",4,"Drug",4,NA,160,"100-1,000","1993-08-01","1993","1999-07-01","1999",5.91375770020534,"5-10 years","1999-10-01","1999",6.16563997262149,"Completed",3,"Completed","No",2,"NIDDK","NIH",2,"2",55415,"Minneapolis","MN",44.973415,-93.25941,1,"US",1
"7","NCT00004363","Observational",2,NA,NA,"Diabetes",3,"Drug",NA,NA,NA,NA,"1995-12-01","1995",NA,NA,NA,NA,"1999-10-01","1999",3.83299110198494,"Completed",3,"Completed","Yes",1,"NCRR","NIH",2,"2",60611,"Chicago","IL",41.904667,-87.62504,1,"US",1
"8","NCT00004983","Interventional",1,"N/A",8,"Type 2",2,"Behavioral",NA,NA,NA,NA,"1999-09-01","1999","2006-12-01","2006",7.2498288843258,"5-10 years","2000-03-01","2000",0.498288843258042,"Completed",3,"Completed","Yes",1,"NIDDK","NIH",2,"1",78701,"Austin","TX",30.27127,-97.74103,1,"US",1
"9","NCT00004984","Interventional",1,"Phase 3",6,"Type 1",1,"Drug",NA,NA,NA,NA,"1994-02-01","1994","2003-06-01","2003",9.32785763175907,"5-10 years","2000-03-01","2000",6.07802874743327,"Completed",3,"Completed","Yes",1,"NIDDK","NIH",2,"5+",90027,"Los Angeles","CA",34.111208,-118.28842,2,"US",1
"10","NCT00004992","Interventional",1,"Phase 3",6,"Type 2",2,"Behavioral",3,NA,3234,"1,000-5,000","1996-07-01","1996","2001-04-01","2001",4.7501711156742,"2-5 years","2000-03-01","2000",3.66598220396988,"Completed",3,"Completed","No",2,"NIDDK","NIH",2,"5+",20852,"Rockville","MD",39.0509,-77.12261,1,"US",1
